user_id,day,total_steps,correct,wrong,correct_response_rate,viewed
2,1.0,2.0,2.0,0.0,1.0,9
3,1.0,4.0,4.0,4.0,0.5,20
8,1.0,11.0,9.0,21.0,0.3,154
14,1.0,1.0,0.0,1.0,0.0,9
16,5.0,38.0,37.0,37.0,0.5,184
17,1.0,1.0,0.0,2.0,0.0,13
22,5.0,27.0,26.0,17.0,0.6046511627906976,115
26,1.0,7.0,7.0,16.0,0.30434782608695654,32
30,2.0,8.0,8.0,2.0,0.8,38
31,2.0,6.0,4.0,5.0,0.4444444444444444,34
34,2.0,9.0,9.0,4.0,0.6923076923076923,45
39,3.0,11.0,11.0,3.0,0.7857142857142857,73
43,2.0,6.0,6.0,3.0,0.6666666666666666,66
44,1.0,2.0,2.0,0.0,1.0,16
46,2.0,16.0,16.0,6.0,0.7272727272727273,48
49,1.0,2.0,2.0,0.0,1.0,9
50,1.0,2.0,2.0,0.0,1.0,11
54,3.0,10.0,9.0,23.0,0.28125,89
60,5.0,32.0,32.0,12.0,0.7272727272727273,115
63,1.0,8.0,8.0,3.0,0.7272727272727273,23
66,5.0,13.0,14.0,3.0,0.8235294117647058,137
67,4.0,18.0,18.0,29.0,0.3829787234042553,171
68,1.0,2.0,2.0,2.0,0.5,8
70,1.0,2.0,2.0,0.0,1.0,23
73,1.0,2.0,2.0,0.0,1.0,24
75,1.0,2.0,2.0,0.0,1.0,16
76,1.0,2.0,2.0,1.0,0.6666666666666666,122
80,3.0,22.0,22.0,5.0,0.8148148148148148,222
89,2.0,8.0,8.0,3.0,0.7272727272727273,26
91,4.0,13.0,13.0,16.0,0.4482758620689655,112
94,1.0,2.0,2.0,0.0,1.0,16
95,1.0,6.0,5.0,4.0,0.5555555555555556,26
96,1.0,2.0,2.0,0.0,1.0,14
97,1.0,2.0,2.0,3.0,0.4,16
100,1.0,9.0,9.0,5.0,0.6428571428571429,42
101,1.0,2.0,2.0,0.0,1.0,6
104,1.0,2.0,2.0,0.0,1.0,12
108,1.0,2.0,2.0,0.0,1.0,15
111,1.0,8.0,9.0,10.0,0.47368421052631576,54
115,2.0,20.0,18.0,92.0,0.16363636363636364,112
120,1.0,2.0,2.0,0.0,1.0,10
121,1.0,2.0,4.0,0.0,1.0,67
127,2.0,8.0,7.0,7.0,0.5,39
129,1.0,2.0,2.0,0.0,1.0,20
130,1.0,2.0,2.0,0.0,1.0,10
133,1.0,8.0,6.0,24.0,0.2,40
138,4.0,24.0,23.0,12.0,0.6571428571428571,79
144,1.0,2.0,2.0,0.0,1.0,12
145,2.0,12.0,13.0,14.0,0.48148148148148145,192
152,1.0,2.0,2.0,2.0,0.5,12
157,4.0,19.0,20.0,22.0,0.47619047619047616,190
166,5.0,27.0,30.0,31.0,0.4918032786885246,209
169,1.0,1.0,1.0,0.0,1.0,5
171,2.0,2.0,1.0,9.0,0.1,15
175,1.0,2.0,3.0,0.0,1.0,35
176,1.0,2.0,2.0,0.0,1.0,8
179,1.0,1.0,1.0,0.0,1.0,2
183,3.0,27.0,27.0,23.0,0.54,136
184,1.0,2.0,2.0,0.0,1.0,13
192,1.0,2.0,3.0,0.0,1.0,6
